,spin,model,strength,polar angle,azimuthal angle
278,0.99,point,1e-10,1.2566370614359172,0
279,0.001,point,1e-09,1.2566370614359172,0
280,0.1,point,1e-09,1.2566370614359172,0
281,0.2,point,1e-09,1.2566370614359172,0
282,0.3,point,1e-09,1.2566370614359172,0
283,0.4,point,1e-09,1.2566370614359172,0
284,0.5,point,1e-09,1.2566370614359172,0
285,0.75,point,1e-09,1.2566370614359172,0
286,0.9,point,1e-09,1.2566370614359172,0
287,0.99,point,1e-09,1.2566370614359172,0
288,0.001,point,1e-08,1.2566370614359172,0
289,0.1,point,1e-08,1.2566370614359172,0
290,0.2,point,1e-08,1.2566370614359172,0
291,0.3,point,1e-08,1.2566370614359172,0
292,0.4,point,1e-08,1.2566370614359172,0
293,0.5,point,1e-08,1.2566370614359172,0
294,0.75,point,1e-08,1.2566370614359172,0
295,0.9,point,1e-08,1.2566370614359172,0
296,0.99,point,1e-08,1.2566370614359172,0
297,0.001,point,1e-07,1.2566370614359172,0
298,0.1,point,1e-07,1.2566370614359172,0
299,0.2,point,1e-07,1.2566370614359172,0
300,0.3,point,1e-07,1.2566370614359172,0
301,0.4,point,1e-07,1.2566370614359172,0
302,0.5,point,1e-07,1.2566370614359172,0
303,0.75,point,1e-07,1.2566370614359172,0
304,0.9,point,1e-07,1.2566370614359172,0
305,0.99,point,1e-07,1.2566370614359172,0
306,0.001,point,1e-06,1.2566370614359172,0
307,0.1,point,1e-06,1.2566370614359172,0
308,0.2,point,1e-06,1.2566370614359172,0
309,0.3,point,1e-06,1.2566370614359172,0
310,0.4,point,1e-06,1.2566370614359172,0
311,0.5,point,1e-06,1.2566370614359172,0
312,0.75,point,1e-06,1.2566370614359172,0
313,0.9,point,1e-06,1.2566370614359172,0
314,0.99,point,1e-06,1.2566370614359172,0
315,0.001,point,1e-12,1.5707963267948966,0
316,0.1,point,1e-12,1.5707963267948966,0
317,0.2,point,1e-12,1.5707963267948966,0
318,0.3,point,1e-12,1.5707963267948966,0
319,0.4,point,1e-12,1.5707963267948966,0
320,0.5,point,1e-12,1.5707963267948966,0
321,0.75,point,1e-12,1.5707963267948966,0
322,0.9,point,1e-12,1.5707963267948966,0
323,0.99,point,1e-12,1.5707963267948966,0
324,0.001,point,1e-11,1.5707963267948966,0
325,0.1,point,1e-11,1.5707963267948966,0
326,0.2,point,1e-11,1.5707963267948966,0
327,0.3,point,1e-11,1.5707963267948966,0
328,0.4,point,1e-11,1.5707963267948966,0
329,0.5,point,1e-11,1.5707963267948966,0
330,0.75,point,1e-11,1.5707963267948966,0
331,0.9,point,1e-11,1.5707963267948966,0
332,0.99,point,1e-11,1.5707963267948966,0
333,0.001,point,1e-10,1.5707963267948966,0
334,0.1,point,1e-10,1.5707963267948966,0
335,0.2,point,1e-10,1.5707963267948966,0
336,0.3,point,1e-10,1.5707963267948966,0
337,0.4,point,1e-10,1.5707963267948966,0
338,0.5,point,1e-10,1.5707963267948966,0
339,0.75,point,1e-10,1.5707963267948966,0
340,0.9,point,1e-10,1.5707963267948966,0
341,0.99,point,1e-10,1.5707963267948966,0
342,0.001,point,1e-09,1.5707963267948966,0
343,0.1,point,1e-09,1.5707963267948966,0
344,0.2,point,1e-09,1.5707963267948966,0
345,0.3,point,1e-09,1.5707963267948966,0
346,0.4,point,1e-09,1.5707963267948966,0
347,0.5,point,1e-09,1.5707963267948966,0
348,0.75,point,1e-09,1.5707963267948966,0
349,0.9,point,1e-09,1.5707963267948966,0
350,0.99,point,1e-09,1.5707963267948966,0
351,0.001,point,1e-08,1.5707963267948966,0
352,0.1,point,1e-08,1.5707963267948966,0
353,0.2,point,1e-08,1.5707963267948966,0
354,0.3,point,1e-08,1.5707963267948966,0
355,0.4,point,1e-08,1.5707963267948966,0
356,0.5,point,1e-08,1.5707963267948966,0
357,0.75,point,1e-08,1.5707963267948966,0
358,0.9,point,1e-08,1.5707963267948966,0
359,0.99,point,1e-08,1.5707963267948966,0
360,0.001,point,1e-07,1.5707963267948966,0
361,0.1,point,1e-07,1.5707963267948966,0
362,0.2,point,1e-07,1.5707963267948966,0
363,0.3,point,1e-07,1.5707963267948966,0
364,0.4,point,1e-07,1.5707963267948966,0
365,0.5,point,1e-07,1.5707963267948966,0
366,0.75,point,1e-07,1.5707963267948966,0
367,0.9,point,1e-07,1.5707963267948966,0
368,0.99,point,1e-07,1.5707963267948966,0
369,0.001,point,1e-06,1.5707963267948966,0
370,0.1,point,1e-06,1.5707963267948966,0
371,0.2,point,1e-06,1.5707963267948966,0
372,0.3,point,1e-06,1.5707963267948966,0
373,0.4,point,1e-06,1.5707963267948966,0
374,0.5,point,1e-06,1.5707963267948966,0
375,0.75,point,1e-06,1.5707963267948966,0
376,0.9,point,1e-06,1.5707963267948966,0
377,0.99,point,1e-06,1.5707963267948966,0
378,0.001,ring,1e-12,0.0,0
379,0.1,ring,1e-12,0.0,0
380,0.2,ring,1e-12,0.0,0
381,0.3,ring,1e-12,0.0,0
382,0.4,ring,1e-12,0.0,0
383,0.5,ring,1e-12,0.0,0
384,0.75,ring,1e-12,0.0,0
385,0.9,ring,1e-12,0.0,0
386,0.99,ring,1e-12,0.0,0
387,0.001,ring,1e-11,0.0,0
388,0.1,ring,1e-11,0.0,0
389,0.2,ring,1e-11,0.0,0
390,0.3,ring,1e-11,0.0,0
391,0.4,ring,1e-11,0.0,0
392,0.5,ring,1e-11,0.0,0
393,0.75,ring,1e-11,0.0,0
394,0.9,ring,1e-11,0.0,0
395,0.99,ring,1e-11,0.0,0
396,0.001,ring,1e-10,0.0,0
397,0.1,ring,1e-10,0.0,0
398,0.2,ring,1e-10,0.0,0
399,0.3,ring,1e-10,0.0,0
400,0.4,ring,1e-10,0.0,0
401,0.5,ring,1e-10,0.0,0
